system,model,temperature_K
zr_bcc,mattersim,50.0
zr_bcc,mattersim,100.0
zr_bcc,mattersim,200.0
zr_bcc,mattersim,300.0
zr_bcc,mattersim,600.0
zr_bcc,sevennet0,50.0
zr_bcc,sevennet0,100.0
zr_bcc,sevennet0,200.0
zr_bcc,sevennet0,300.0
zr_bcc,sevennet0,600.0
zr_bcc,mace_mp0,50.0
zr_bcc,mace_mp0,100.0
zr_bcc,mace_mp0,200.0
zr_bcc,mace_mp0,300.0
zr_bcc,mace_mp0,600.0
zr_bcc,chgnet,50.0
zr_bcc,chgnet,100.0
zr_bcc,chgnet,200.0
zr_bcc,chgnet,300.0
zr_bcc,chgnet,600.0
zr_bcc,orb_v2,50.0
zr_bcc,orb_v2,100.0
zr_bcc,orb_v2,200.0
zr_bcc,orb_v2,300.0
zr_bcc,orb_v2,600.0
ti_bcc,mattersim,50.0
ti_bcc,mattersim,100.0
ti_bcc,mattersim,200.0
ti_bcc,mattersim,300.0
ti_bcc,mattersim,600.0
ti_bcc,sevennet0,50.0
ti_bcc,sevennet0,100.0
ti_bcc,sevennet0,200.0
ti_bcc,sevennet0,300.0
ti_bcc,sevennet0,600.0
ti_bcc,mace_mp0,50.0
ti_bcc,mace_mp0,100.0
ti_bcc,mace_mp0,200.0
ti_bcc,mace_mp0,300.0
ti_bcc,mace_mp0,600.0
ti_bcc,chgnet,50.0
ti_bcc,chgnet,100.0
ti_bcc,chgnet,200.0
ti_bcc,chgnet,300.0
ti_bcc,chgnet,600.0
ti_bcc,orb_v2,50.0
ti_bcc,orb_v2,100.0
ti_bcc,orb_v2,200.0
ti_bcc,orb_v2,300.0
ti_bcc,orb_v2,600.0
hf_bcc,mattersim,50.0
hf_bcc,mattersim,100.0
hf_bcc,mattersim,200.0
hf_bcc,mattersim,300.0
hf_bcc,mattersim,600.0
hf_bcc,sevennet0,50.0
hf_bcc,sevennet0,100.0
hf_bcc,sevennet0,200.0
hf_bcc,sevennet0,300.0
hf_bcc,sevennet0,600.0
hf_bcc,mace_mp0,50.0
hf_bcc,mace_mp0,100.0
hf_bcc,mace_mp0,200.0
hf_bcc,mace_mp0,300.0
hf_bcc,mace_mp0,600.0
hf_bcc,chgnet,50.0
hf_bcc,chgnet,100.0
hf_bcc,chgnet,200.0
hf_bcc,chgnet,300.0
hf_bcc,chgnet,600.0
hf_bcc,orb_v2,50.0
hf_bcc,orb_v2,100.0
hf_bcc,orb_v2,200.0
hf_bcc,orb_v2,300.0
hf_bcc,orb_v2,600.0
srtio3_cubic,mattersim,100.0
srtio3_cubic,mattersim,600.0
srtio3_cubic,mattersim,900.0
srtio3_cubic,sevennet0,600.0
srtio3_cubic,mace_mp0,600.0
srtio3_cubic,mace_mp0,900.0
srtio3_cubic,chgnet,600.0
srtio3_cubic,chgnet,900.0
srtio3_cubic,orb_v2,100.0
srtio3_cubic,orb_v2,300.0
srtio3_cubic,orb_v2,600.0
srtio3_cubic,orb_v2,900.0
batio3_cubic,mattersim,100.0
batio3_cubic,mattersim,300.0
batio3_cubic,mattersim,600.0
batio3_cubic,mattersim,900.0
batio3_cubic,sevennet0,100.0
batio3_cubic,sevennet0,300.0
batio3_cubic,sevennet0,600.0
batio3_cubic,sevennet0,900.0
batio3_cubic,mace_mp0,100.0
batio3_cubic,mace_mp0,300.0
batio3_cubic,mace_mp0,600.0
batio3_cubic,mace_mp0,900.0
batio3_cubic,chgnet,100.0
batio3_cubic,chgnet,300.0
batio3_cubic,chgnet,600.0
batio3_cubic,chgnet,900.0
batio3_cubic,orb_v2,100.0
batio3_cubic,orb_v2,300.0
batio3_cubic,orb_v2,600.0
batio3_cubic,orb_v2,900.0
pbtio3_cubic,mattersim,100.0
